file_stem,n_faces,face_any_disagree,face_label_disagree,face_label_err_rate,face_any_err_rate,n_edges,edge_any_disagree,edge_any_err_rate
00092170,35,3,1,0.02857142857142857,0.08571428571428572,176,38,0.2159090909090909
00094096,42,2,0,0.0,0.047619047619047616,204,58,0.28431372549019607
00096779,30,3,3,0.1,0.1,158,6,0.0379746835443038
00097329,44,3,1,0.022727272727272728,0.06818181818181818,240,16,0.06666666666666667
00097445,23,2,2,0.08695652173913043,0.08695652173913043,124,34,0.27419354838709675
00099710,20,0,0,0.0,0.0,100,16,0.16
00099950,51,2,2,0.0392156862745098,0.0392156862745098,278,14,0.050359712230215826
00099951,32,4,2,0.0625,0.125,140,13,0.09285714285714286
00099952,28,1,1,0.03571428571428571,0.03571428571428571,146,36,0.2465753424657534
00099953,30,0,0,0.0,0.0,158,10,0.06329113924050633
00099954,25,0,0,0.0,0.0,132,4,0.030303030303030304
00099955,28,4,2,0.07142857142857142,0.14285714285714285,130,0,0.0
00099956,36,1,1,0.027777777777777776,0.027777777777777776,170,12,0.07058823529411765
00099957,23,0,0,0.0,0.0,116,14,0.1206896551724138
00099958,45,0,0,0.0,0.0,224,0,0.0
00099959,21,0,0,0.0,0.0,114,6,0.05263157894736842
00099960,18,0,0,0.0,0.0,74,16,0.21621621621621623
00099961,25,0,0,0.0,0.0,134,0,0.0
00099962,32,0,0,0.0,0.0,166,4,0.024096385542168676
00099963,31,1,1,0.03225806451612903,0.03225806451612903,160,2,0.0125
00099964,29,5,2,0.06896551724137931,0.1724137931034483,156,0,0.0
00099965,27,1,1,0.037037037037037035,0.037037037037037035,142,4,0.028169014084507043
00099966,23,2,2,0.08695652173913043,0.08695652173913043,124,14,0.11290322580645161
00099967,39,2,2,0.05128205128205128,0.05128205128205128,192,14,0.07291666666666667
00099968,26,0,0,0.0,0.0,120,4,0.03333333333333333
00099969,37,2,2,0.05405405405405406,0.05405405405405406,206,30,0.14563106796116504
00099970,7,0,0,0.0,0.0,12,0,0.0
00099971,28,0,0,0.0,0.0,146,10,0.0684931506849315
00099972,31,0,0,0.0,0.0,160,0,0.0
00099973,19,1,1,0.05263157894736842,0.05263157894736842,102,6,0.058823529411764705
00099974,20,1,0,0.0,0.05,108,2,0.018518518518518517
00099975,34,3,3,0.08823529411764706,0.08823529411764706,174,26,0.14942528735632185
00099976,32,3,3,0.09375,0.09375,166,12,0.07228915662650602
